time(s),emg01,emg02,emg03,emg04,emg05,emg06,emg07,emg08
12.018479347229004,26,37,304,44,44,34,27,27
12.033713102340698,30,34,312,55,49,33,29,28
12.056066989898682,30,35,320,58,50,32,28,28
12.07888674736023,30,36,321,54,48,32,28,28
12.094056606292725,29,29,162,54,44,29,27,27
12.11590576171875,32,30,142,60,49,29,24,25
12.138399124145508,28,30,119,50,44,30,22,26
12.153964281082153,26,28,110,49,44,31,23,26
12.176082134246826,24,29,106,50,43,30,22,26
12.198566436767578,27,32,184,55,44,35,23,28
12.213785171508789,26,32,236,56,41,36,24,29
12.235898494720459,27,40,242,61,43,37,24,28
12.25846815109253,30,40,247,63,49,36,25,29
12.274116039276123,35,41,294,63,48,37,25,28
12.304710865020752,32,40,281,61,54,37,23,25
12.322348833084106,35,43,245,54,54,38,23,23
12.337687253952026,36,40,248,52,58,39,22,25
12.3557767868042,35,43,290,48,54,40,20,24
12.378501415252686,33,42,270,46,55,41,22,27
12.393991947174072,34,46,287,45,49,38,22,29
12.415960788726807,30,42,287,48,48,35,22,30
12.438537120819092,28,39,283,43,40,32,24,29
12.45341444015503,28,37,232,46,41,32,23,28
12.476250171661377,28,38,203,49,40,31,21,27
12.498750686645508,29,32,185,46,39,34,22,27
12.51341700553894,28,32,206,46,39,35,22,25
12.522210359573364,28,32,206,46,39,35,22,25
